,0,1,2,3,4,5,6,7,8,9,10,11
67,0.6065858,0.69324094,0.6724437,0.6516465,0.0,0.558059,0.49913344,0.43674174,0.6169844,0.63431543,0.7209706,0.42980936
68,0.69324094,0.6724437,0.6516465,0.0,0.558059,0.49913344,0.43674174,0.6169844,0.63431543,0.7209706,0.42980936,0.63084924
69,0.6724437,0.6516465,0.0,0.558059,0.49913344,0.43674174,0.6169844,0.63431543,0.7209706,0.42980936,0.63084924,0.43674174
70,0.6516465,0.0,0.558059,0.49913344,0.43674174,0.6169844,0.63431543,0.7209706,0.42980936,0.63084924,0.43674174,0.6239168
71,0.0,0.558059,0.49913344,0.43674174,0.6169844,0.63431543,0.7209706,0.42980936,0.63084924,0.43674174,0.6239168,0.3119584
72,0.558059,0.49913344,0.43674174,0.6169844,0.63431543,0.7209706,0.42980936,0.63084924,0.43674174,0.6239168,0.3119584,0.5996534
73,0.49913344,0.43674174,0.6169844,0.63431543,0.7209706,0.42980936,0.63084924,0.43674174,0.6239168,0.3119584,0.5996534,0.5639515
74,0.43674174,0.6169844,0.63431543,0.7209706,0.42980936,0.63084924,0.43674174,0.6239168,0.3119584,0.5996534,0.5639515,0.6291161
75,0.6169844,0.63431543,0.7209706,0.42980936,0.63084924,0.43674174,0.6239168,0.3119584,0.5996534,0.5639515,0.6291161,0.7334489
76,0.63431543,0.7209706,0.42980936,0.63084924,0.43674174,0.6239168,0.3119584,0.5996534,0.5639515,0.6291161,0.7334489,0.7493934
77,0.7209706,0.42980936,0.63084924,0.43674174,0.6239168,0.3119584,0.5996534,0.5639515,0.6291161,0.7334489,0.7493934,0.76707107
78,0.42980936,0.63084924,0.43674174,0.6239168,0.3119584,0.5996534,0.5639515,0.6291161,0.7334489,0.7493934,0.76707107,0.5892548
79,0.63084924,0.43674174,0.6239168,0.3119584,0.5996534,0.5639515,0.6291161,0.7334489,0.7493934,0.76707107,0.5892548,0.59341425
80,0.43674174,0.6239168,0.3119584,0.5996534,0.5639515,0.6291161,0.7334489,0.7493934,0.76707107,0.5892548,0.59341425,0.5386482
81,0.6239168,0.3119584,0.5996534,0.5639515,0.6291161,0.7334489,0.7493934,0.76707107,0.5892548,0.59341425,0.5386482,0.5785095
82,0.3119584,0.5996534,0.5639515,0.6291161,0.7334489,0.7493934,0.76707107,0.5892548,0.59341425,0.5386482,0.5785095,0.6696707
83,0.5996534,0.5639515,0.6291161,0.7334489,0.7493934,0.76707107,0.5892548,0.59341425,0.5386482,0.5785095,0.6696707,0.5871751
