,humidness (t-12),temperature(t-12),precipitation(t-12),sunshine_duration(t-12),humidness (t-11),temperature(t-11),precipitation(t-11),sunshine_duration(t-11),humidness (t-10),temperature(t-10),precipitation(t-10),sunshine_duration(t-10),humidness (t-9),temperature(t-9),precipitation(t-9),sunshine_duration(t-9),humidness (t-8),temperature(t-8),precipitation(t-8),sunshine_duration(t-8),humidness (t-7),temperature(t-7),precipitation(t-7),sunshine_duration(t-7),humidness (t-6),temperature(t-6),precipitation(t-6),sunshine_duration(t-6),humidness (t-5),temperature(t-5),precipitation(t-5),sunshine_duration(t-5),humidness (t-4),temperature(t-4),precipitation(t-4),sunshine_duration(t-4),humidness (t-3),temperature(t-3),precipitation(t-3),sunshine_duration(t-3),humidness (t-2),temperature(t-2),precipitation(t-2),sunshine_duration(t-2),humidness (t-1),temperature(t-1),precipitation(t-1),sunshine_duration(t-1),sunshine_duration(t),sunshine_duration(t+1),sunshine_duration(t+2),sunshine_duration(t+3),sunshine_duration(t+4),sunshine_duration(t+5),sunshine_duration(t+6),sunshine_duration(t+7),sunshine_duration(t+8),sunshine_duration(t+9),sunshine_duration(t+10),sunshine_duration(t+11)
182,0.42372882,0.2916667,0.06447866,0.48596182,0.35593224,0.48888892,0.05082777,0.6291161,0.38983053,0.78055555,0.085681096,0.8221838,0.6440678,0.8638889,0.25762418,0.66204506,0.7288136,0.9722222,0.0987511,0.5181976,0.7118644,0.9138889,0.5164102,0.60797226,0.69491524,0.7694444,0.23467909,0.5760832,0.6101695,0.5555556,0.17136219,0.52201045,0.37288135,0.33888888,0.047923326,0.5805893,0.1864407,0.15,0.008451932,0.6124784,0.06779662,0.052777782,0.0100203315,0.72374356,0.4915254,0.175,0.035724662,0.3882149,0.8714038,0.79792035,0.8426344,0.72790295,0.4197574,0.5487002,0.61559796,0.48492196,0.3729636,0.49116114,0.47348353,0.64748704
183,0.35593224,0.48888892,0.05082777,0.6291161,0.38983053,0.78055555,0.085681096,0.8221838,0.6440678,0.8638889,0.25762418,0.66204506,0.7288136,0.9722222,0.0987511,0.5181976,0.7118644,0.9138889,0.5164102,0.60797226,0.69491524,0.7694444,0.23467909,0.5760832,0.6101695,0.5555556,0.17136219,0.52201045,0.37288135,0.33888888,0.047923326,0.5805893,0.1864407,0.15,0.008451932,0.6124784,0.06779662,0.052777782,0.0100203315,0.72374356,0.4915254,0.175,0.035724662,0.3882149,0.05084747,0.4027778,0.029465586,0.8714038,0.79792035,0.8426344,0.72790295,0.4197574,0.5487002,0.61559796,0.48492196,0.3729636,0.49116114,0.47348353,0.64748704,0.6606586
184,0.38983053,0.78055555,0.085681096,0.8221838,0.6440678,0.8638889,0.25762418,0.66204506,0.7288136,0.9722222,0.0987511,0.5181976,0.7118644,0.9138889,0.5164102,0.60797226,0.69491524,0.7694444,0.23467909,0.5760832,0.6101695,0.5555556,0.17136219,0.52201045,0.37288135,0.33888888,0.047923326,0.5805893,0.1864407,0.15,0.008451932,0.6124784,0.06779662,0.052777782,0.0100203315,0.72374356,0.4915254,0.175,0.035724662,0.3882149,0.05084747,0.4027778,0.029465586,0.8714038,0.23728812,0.6,0.044437993,0.79792035,0.8426344,0.72790295,0.4197574,0.5487002,0.61559796,0.48492196,0.3729636,0.49116114,0.47348353,0.64748704,0.6606586,0.7064125
185,0.6440678,0.8638889,0.25762418,0.66204506,0.7288136,0.9722222,0.0987511,0.5181976,0.7118644,0.9138889,0.5164102,0.60797226,0.69491524,0.7694444,0.23467909,0.5760832,0.6101695,0.5555556,0.17136219,0.52201045,0.37288135,0.33888888,0.047923326,0.5805893,0.1864407,0.15,0.008451932,0.6124784,0.06779662,0.052777782,0.0100203315,0.72374356,0.4915254,0.175,0.035724662,0.3882149,0.05084747,0.4027778,0.029465586,0.8714038,0.23728812,0.6,0.044437993,0.79792035,0.2542373,0.7694444,0.063316874,0.8426344,0.72790295,0.4197574,0.5487002,0.61559796,0.48492196,0.3729636,0.49116114,0.47348353,0.64748704,0.6606586,0.7064125,0.81005204
186,0.7288136,0.9722222,0.0987511,0.5181976,0.7118644,0.9138889,0.5164102,0.60797226,0.69491524,0.7694444,0.23467909,0.5760832,0.6101695,0.5555556,0.17136219,0.52201045,0.37288135,0.33888888,0.047923326,0.5805893,0.1864407,0.15,0.008451932,0.6124784,0.06779662,0.052777782,0.0100203315,0.72374356,0.4915254,0.175,0.035724662,0.3882149,0.05084747,0.4027778,0.029465586,0.8714038,0.23728812,0.6,0.044437993,0.79792035,0.2542373,0.7694444,0.063316874,0.8426344,0.5084746,0.9111111,0.34098172,0.72790295,0.4197574,0.5487002,0.61559796,0.48492196,0.3729636,0.49116114,0.47348353,0.64748704,0.6606586,0.7064125,0.81005204,0.48561528
187,0.7118644,0.9138889,0.5164102,0.60797226,0.69491524,0.7694444,0.23467909,0.5760832,0.6101695,0.5555556,0.17136219,0.52201045,0.37288135,0.33888888,0.047923326,0.5805893,0.1864407,0.15,0.008451932,0.6124784,0.06779662,0.052777782,0.0100203315,0.72374356,0.4915254,0.175,0.035724662,0.3882149,0.05084747,0.4027778,0.029465586,0.8714038,0.23728812,0.6,0.044437993,0.79792035,0.2542373,0.7694444,0.063316874,0.8426344,0.5084746,0.9111111,0.34098172,0.72790295,0.7627118,0.94166666,0.7717108,0.4197574,0.5487002,0.61559796,0.48492196,0.3729636,0.49116114,0.47348353,0.64748704,0.6606586,0.7064125,0.81005204,0.48561528,0.4655113
188,0.69491524,0.7694444,0.23467909,0.5760832,0.6101695,0.5555556,0.17136219,0.52201045,0.37288135,0.33888888,0.047923326,0.5805893,0.1864407,0.15,0.008451932,0.6124784,0.06779662,0.052777782,0.0100203315,0.72374356,0.4915254,0.175,0.035724662,0.3882149,0.05084747,0.4027778,0.029465586,0.8714038,0.23728812,0.6,0.044437993,0.79792035,0.2542373,0.7694444,0.063316874,0.8426344,0.5084746,0.9111111,0.34098172,0.72790295,0.7627118,0.94166666,0.7717108,0.4197574,0.8474576,0.9111111,0.49753127,0.5487002,0.61559796,0.48492196,0.3729636,0.49116114,0.47348353,0.64748704,0.6606586,0.7064125,0.81005204,0.48561528,0.4655113,0.6318891
189,0.6101695,0.5555556,0.17136219,0.52201045,0.37288135,0.33888888,0.047923326,0.5805893,0.1864407,0.15,0.008451932,0.6124784,0.06779662,0.052777782,0.0100203315,0.72374356,0.4915254,0.175,0.035724662,0.3882149,0.05084747,0.4027778,0.029465586,0.8714038,0.23728812,0.6,0.044437993,0.79792035,0.2542373,0.7694444,0.063316874,0.8426344,0.5084746,0.9111111,0.34098172,0.72790295,0.7627118,0.94166666,0.7717108,0.4197574,0.8474576,0.9111111,0.49753127,0.5487002,0.6440678,0.7388889,0.18588442,0.61559796,0.48492196,0.3729636,0.49116114,0.47348353,0.64748704,0.6606586,0.7064125,0.81005204,0.48561528,0.4655113,0.6318891,0.6998267
190,0.37288135,0.33888888,0.047923326,0.5805893,0.1864407,0.15,0.008451932,0.6124784,0.06779662,0.052777782,0.0100203315,0.72374356,0.4915254,0.175,0.035724662,0.3882149,0.05084747,0.4027778,0.029465586,0.8714038,0.23728812,0.6,0.044437993,0.79792035,0.2542373,0.7694444,0.063316874,0.8426344,0.5084746,0.9111111,0.34098172,0.72790295,0.7627118,0.94166666,0.7717108,0.4197574,0.8474576,0.9111111,0.49753127,0.5487002,0.6440678,0.7388889,0.18588442,0.61559796,0.67796606,0.57222223,0.08335754,0.48492196,0.3729636,0.49116114,0.47348353,0.64748704,0.6606586,0.7064125,0.81005204,0.48561528,0.4655113,0.6318891,0.6998267,0.6897747
191,0.1864407,0.15,0.008451932,0.6124784,0.06779662,0.052777782,0.0100203315,0.72374356,0.4915254,0.175,0.035724662,0.3882149,0.05084747,0.4027778,0.029465586,0.8714038,0.23728812,0.6,0.044437993,0.79792035,0.2542373,0.7694444,0.063316874,0.8426344,0.5084746,0.9111111,0.34098172,0.72790295,0.7627118,0.94166666,0.7717108,0.4197574,0.8474576,0.9111111,0.49753127,0.5487002,0.6440678,0.7388889,0.18588442,0.61559796,0.67796606,0.57222223,0.08335754,0.48492196,0.5762712,0.375,0.061574213,0.3729636,0.49116114,0.47348353,0.64748704,0.6606586,0.7064125,0.81005204,0.48561528,0.4655113,0.6318891,0.6998267,0.6897747,0.5383016
